"","start","end","length_time","correlation","rsquared","p_value","Sing_level"
"82033400","2004-05-01","2009-06-01","32","0.3162","0.1","0.077889","."
"","","","","","","",""
"82004400","1995-05-01","2009-05-01","85","0.1431","0.0205","0.191524"," "
"","","","","","","",""
"69070000","1990-09-01","1993-08-01","18","0.3708","0.1375","0.129828"," "
"69070000","1997-07-01","2002-09-01","33","0.4185","0.1752","0.015346","*"
"69070000","2003-05-01","2017-05-01","85","0.2861","0.0819","0.007943","**"
"","","","","","","",""
"69042400","1998-08-01","2012-10-01","87","0.3708","0.1375","0.000408","***"
"","","","","","","",""
"16022700","1996-05-01","1999-06-01","20","0.161","0.0259","0.497689"," "
"","","","","","","",""
"56078600","1996-05-01","2016-10-01","126","0.2797","0.0782","0.001516","**"
"","","","","","","",""
"56047500","1990-05-01","1994-09-01","29","0.3823","0.1461","0.040705","*"
"56047500","2011-05-01","2014-09-01","23","0.6966","0.4853","0.000222","***"
"","","","","","","",""
"3032800","2003-05-01","2010-09-01","47","0.1676","0.0281","0.260168"," "
"","","","","","","",""
"56013800","2001-05-01","2014-09-01","83","0.2505","0.0627","0.022386","*"
"","","","","","","",""
"3015300","1999-05-01","2002-09-01","23","0.3484","0.1214","0.103247"," "
"","","","","","","",""
"60020200","1990-05-01","2013-09-01","143","-0.0252","6e-04","0.765436"," "
"60020200","2015-05-01","2017-10-01"," 18","-0.246","0.0605","0.325161"," "
"","","","","","","",""
"44000300","1992-05-01","1995-08-01","22","0.6373","0.4062","0.001422","**"
"44000300","2003-05-01","2008-05-01","31","0.0231","5e-04","0.901999"," "
"","","","","","","",""
"34006200","1991-05-01","1995-05-01","25","0.3935","0.1548","0.051674","."
"34006200","1997-06-01","2001-08-01","27","0.6657","0.4431","0.000151","***"
"34006200","2002-10-01","2006-05-01","20","0.2635","0.0694","0.261625"," "
"34006200","2007-05-01","2011-09-01","29","0.0771","0.0059","0.690983"," "
"","","","","","","",""
"47004900","1992-05-01","2016-09-01","149","0.2819","0.0795","0.000496","***"
"","","","","","","",""
"47000200","2002-05-01","2006-08-01","28","0.3544","0.1256","0.064289","."
"","","","","","","",""
"18037200","1990-05-01","2001-09-01","71","0.258","0.0666","0.029817","*"
"18037200","2002-05-01","2012-09-01","65","0.2222","0.0494","0.075267","."
"","","","","","","",""
"11012000","1993-05-01","2000-08-01","46","0.1955","0.0382","0.192839"," "
"","","","","","","",""
"15001600","1991-09-01","1997-09-01","37","0.3412","0.1164","0.038765","*"
"15001600","1999-05-01","2006-05-01","43","-0.0416","0.0017","0.791356"," "
"","","","","","","",""
"2001600","1990-07-01","2008-07-01","109","0.2521","0.0636","0.008178","**"
"2001600","2008-09-01","2012-05-01"," 21","0.3828","0.1466","0.086738","."
"","","","","","","",""
"1017800","1994-06-01","1998-09-01","28","0.0642","0.0041","0.745627"," "
"","","","","","","",""
"58008100","1996-05-01","2000-10-01","30","0.2328","0.0542","0.215777"," "
"58008100","2006-10-01","2010-08-01","23","-0.1702","0.029","0.437509"," "
"","","","","","","",""
"34019300","1999-10-01","2010-10-01","67","0.3391","0.115","0.004997","**"
"","","","","","","",""
"34014200","1998-10-01","2006-09-01","48","0.4103","0.1683","0.003778","**"
"34014200","2007-05-01","2016-09-01","59","0.3237","0.1048","0.012399","*"
"","","","","","","",""
"47011800","2003-07-01","2007-08-01","26","0.1765","0.0311","0.388528"," "
"47011800","2007-10-01","2012-09-01","30","0.3528","0.1245","0.055811","."
"47011800","2013-05-01","2015-10-01","18","0.5255","0.2762","0.02511","*"
"","","","","","","",""
"73010200","1998-05-01","2001-10-01","24","0.6928","0.4799","0.000175","***"
"","","","","","","",""
"10008800","2004-05-01","2010-08-01","40","0.1671","0.0279","0.302697"," "
"","","","","","","",""
"10008900","1998-06-01","2007-07-01","56","0.4843","0.2345","0.000156","***"
"","","","","","","",""
"10007000","2004-05-01","2009-05-01","31","-0.0548","0.003","0.769798"," "
"","","","","","","",""
"10005200","1998-06-01","2003-08-01","33","0.6825","0.4659","1.2e-05","***"
"10005200","2004-05-01","2014-05-01","61","0.4498","0.2023","0.000276","***"
"","","","","","","",""
"31075800","1994-05-01","2000-09-01","41","0.4109","0.1688","0.007618","**"
"31075800","2001-05-01","2005-05-01","25","0.2526","0.0638","0.223196"," "
"","","","","","","",""
"1010500","1999-06-01","2002-09-01","22","0.3556","0.1265","0.1043"," "
"1010500","2003-05-01","2012-08-01","58","0.346","0.1198","0.007795","**"
"","","","","","","",""
"27012100","1990-05-01","2017-10-01","168","0.2065","0.0427","0.007232","**"
"","","","","","","",""
"31021400","1997-05-01","2001-09-01","29","0.309","0.0955","0.102926"," "
