ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
8004500,1005.082,1006.722,1008.189,1007.902,1007.528,1007.629,1007.517,1008.154,1007.209,1007.431,1006.716,1006.509,1007.56,1007.544,1007.713,1008.178,1007.986,1007.8,1007.836,1007.238,1008.201,1008.064,1007.545,1007.513,1008.176,1007.664,1008.324
9000800,1118.567,1119.057,1120.048,1120.647,1120.581,1120.289,1120.705,1121.388,1120.682,1120.262,1119.572,1119.721,1119.355,1118.577,1117.973,1117.547,1117.071,1116.572,1116.566,1116.447,1116.4,1116.937,1117.576,1118.321,1118.886,1118.358,1118.663
10000200,863.567,864.722,864.784,865.312,864.868,864.885,864.505,865.024,864.926,864.787,864.716,864.872,865.173,864.539,865.448,865.253,865.096,864.263,864.575,864.056,864.728,864.904,864.546,864.673,864.91,864.648,865.046
10000600,895.69,895.544,895.79,895.949,895.742,895.785,895.356,895.8,895.629,895.598,895.476,895.569,895.852,895.492,895.961,896.15,895.657,895.523,895.651,895.497,895.849,895.686,895.383,895.238,895.345,895.393,895.559
10000900,944.252,944.654,944.597,944.742,944.49,944.434,944.339,944.718,944.413,944.704,944.235,944.709,944.884,944.451,944.578,944.94,944.259,944.12,944.426,944.271,944.534,944.352,944.09,944.566,944.87,944.465,944.681
10004100,937.869,938.35,941.194,942.42,941.797,941.468,941.985,942.14,942.89,942.01,940.303,941.417,941.44,941.67,941.283,942.1,941.32,940.753,941.009,939.979,941.05,941.835,941.119,941.819,943.146,941.836,942.549
10005900,959.032,960.846,962.641,963.375,962.562,962.355,963.053,961.888,961.763,961.898,960.995,961.99,962.448,962.164,961.997,962.352,961.98,961.447,961.662,961.306,962.03,962.329,961.633,962.039,962.709,961.666,961.886
11012900,1308.165,1308.309,1308.469,1309.162,1308.924,1308.262,1308.58,1308.26,1308.337,1308.941,1308.521,1308.777,1308.259,1307.939,1308.079,1308.538,1308.094,1308.297,1308.161,1308.376,1308.491,1308.457,1309.043,1308.74,1308.69,1308.16,1308.493
11019900,1335.71,1336.719,1335.576,1335.597,1335.395,1335.452,1335.397,1335.467,1335.548,1335.796,1335.279,1335.335,1335.203,1334.722,1334.847,1335.652,1335.649,1335.103,1334.958,1334.964,1334.97,1335.375,1335.455,1335.999,1336.45,1335.78,1336.17
11020100,1322.963,1322.947,1322.789,1323.321,1323.307,1323.406,1323.394,1323.506,1323.534,1323.934,1323.298,1323.776,1323.495,1322.98,1322.925,1323.465,1323.518,1322.626,1323.041,1323.295,1323.274,1323.66,1323.727,1323.767,1323.754,1323.367,1323.61
11024200,1330.499,1330.837,1330.591,1331.158,1330.914,1330.863,1331.169,1331.22,1331.348,1331.29,1330.755,1330.737,1330.743,1330.283,1330.485,1330.745,1330.407,1330.786,1330.863,1330.837,1331.25,1330.894,1330.683,1330.965,1331.448,1331.126,1331.263
11025000,1324.409,1324.544,1324.791,1324.914,1324.829,1324.955,1324.899,1324.854,1324.839,1325.032,1324.738,1324.635,1324.701,1324.378,1323.602,1324.099,1324.46,1324.281,1324.308,1324.65,1324.634,1324.853,1324.877,1324.902,1325.213,1324.82,1325.01
11026300,1322.725,1322.95,1322.777,1323.279,1323.279,1323.31,1323.499,1323.613,1323.621,1324.139,1323.42,1323.785,1323.598,1323.238,1323.054,1323.695,1323.452,1322.806,1323.112,1323.257,1323.316,1323.691,1323.716,1323.686,1323.93,1323.437,1323.692
11041200,1378.47,1378.502,1378.242,1379.006,1378.224,1378.492,1378.334,1378.633,1379.047,1379.448,1379.016,1379.232,1379.034,1378.761,1378.568,1378.6,1379.3,1378.41,1378.676,1378.817,1378.836,1378.909,1378.8,1379.109,1379.015,1378.792,1378.914
11041300,1379.379,1379.581,1379.093,1379.648,1379.729,1379.648,1379.423,1379.588,1379.658,1379.731,1379.484,1379.811,1379.38,1379.095,1379.03,1379.753,1379.248,1379.432,1379.279,1379.515,1379.402,1379.595,1379.502,1379.981,1379.825,1379.454,1379.463
13003100,873.154,874,874.168,874.518,874.13,874.91,874.559,874.228,874.138,874.197,873.877,874.469,874.706,874.54,874.299,874.076,874.203,874.51,874.557,873.8,873.88,874.94,873.95,874.34,875.02,874.35,874.93
13003200,895.736,897.402,897.564,897.839,897.653,899.365,899.245,899.038,897.96,897.65,896.703,898.493,899.28,899.246,898.647,897.996,897.165,896.697,896.283,894.641,894.321,896.175,895.26,895.501,896.909,896.657,896.964
13003500,893.689,894.594,896.633,897.274,897.501,899.332,899.401,899.025,899.13,897.64,896.48,898.619,899.235,899.173,898.587,897.997,897.165,896.608,896.003,894.025,893.672,893.761,892.808,892.225,893.611,893.952,895.667
13005300,886.633,886.948,886.407,886.897,886.447,886.81,886.43,886.485,886.65,886.62,885.919,886.084,886.227,886.185,886.052,885.927,886.052,885.986,886.26,885.797,886.043,886.788,886.316,886.513,886.585,886.275,886.091
13006900,914.461,915.141,913.95,914.046,913.341,914.375,914.69,914.04,913.73,914.108,913.228,914.538,914.739,914.375,914.405,914.546,913.837,913.831,914.481,913.531,915.037,915.162,914.611,914.263,915.806,914.541,914.888
13008300,915.856,916.341,915.622,916.473,915.728,916.348,915.669,915.795,915.567,915.605,915.309,916.293,916.355,916.143,916.226,916.253,915.674,915.76,916.062,916.057,915.84,916.186,916.405,915.92,916.246,916.087,915.696
15001600,1466.587,1466.865,1467.148,1467.177,1467.301,1467.314,1467.193,1467.114,1466.77,1467.437,1467.286,1467.365,1467.048,1466.937,1467.095,1467.066,1466.934,1467.023,1467.055,1467.192,1467.24,1467.26,1467.31,1467.36,1467.24,1467.28,1467.15
16014700,1731.991,1732.081,1732.257,1732.407,1732.385,1732.022,1732.318,1732.13,1731.871,1732.51,1732.432,1732.524,1732.151,1732.432,1732.371,1732.197,1731.701,1731.493,1732.252,1731.851,1731.563,1732.069,1732.268,1732.087,1732.063,1731.699,1731.757
16022700,1680.417,1680.578,1680.92,1680.959,1680.316,1680.06,1680.972,1680.562,1680.397,1680.97,1680.663,1680.703,1680.347,1680.292,1680.36,1680.363,1680.297,1680.276,1680.484,1680.608,1680.002,1680.447,1681.553,1680.76,1680.66,1680.38,1680.25
16023900,1853.814,1853.802,1853.967,1854.007,1853.967,1853.871,1854.017,1853.786,1853.311,1854.373,1854.29,1854.25,1853.78,1853.688,1853.619,1853.66,1852.672,1853.734,1853.798,1853.672,1853.441,1853.748,1853.607,1853.696,1853.908,1853.623,1853.413
16062900,1450.799,1451.68,1451.281,1451.611,1451.938,1450.974,1451.68,1451.407,1450.734,1451.608,1451.321,1451.698,1450.842,1450.83,1451.436,1451.651,1450.654,1451.351,1451.292,1451.007,1450.27,1450.589,1451.094,1451.411,1451.454,1450.918,1452.022
17000300,1254.428,1254.767,2513.46,1254.965,1254.72,1254.759,1254.71,1254.977,1254.82,1254.703,1254.082,1254.776,1254.659,1254.562,1254.741,1254.874,1254.64,1255.439,1254.443,1254.605,1254.874,1254.638,1254.204,1254.472,1254.768,1254.852,1255.136
18016500,1239.104,1238.785,1239.147,1239.12,1238.584,1238.807,1238.499,1238.749,1238.572,1238.993,1238.684,1238.634,1238.651,1238.611,1238.711,1238.646,1238.239,1238.473,1238.552,1238.467,1238.447,1238.44,1239.234,1238.67,1238.89,1238.612,1239.037
18024300,1180.87,1180.55,1180.694,1180.701,1180.861,1180.972,1180.606,1180.863,1180.84,1180.861,1180.616,1180.848,1180.658,1180.661,1180.523,1180.106,1179.795,1180.379,1180.785,1180.686,1180.272,1180.212,1181.077,1180.506,1180.658,1180.441,1180.701
18025100,1205.953,1205.931,1205.646,1205.856,1206.113,1206.464,1207.038,1207.467,1207.163,1207.496,1207.352,1207.572,1207.089,1206.275,1205.474,1205.59,1206.286,1204.821,1205.101,1205.133,1205.279,1205.667,1206.242,1206.274,1207.033,1206.756,1206.744
18025200,1206.737,1206.707,1206.524,1206.829,1207.02,1207.405,1207.821,1208.314,1207.76,1208.266,1207.891,1208.398,1207.649,1207.215,1206.382,1206.663,1206.217,1204.264,1206.151,1206.333,1206.249,1206.719,1207.241,1207.187,1207.44,1207.36,1207.742
18025600,1202.971,1202.703,1202.434,1202.786,1202.998,1203.372,1204.099,1204.565,1204.63,1204.846,1204.913,1205.058,1204.549,1203.873,1203.024,1202.854,1203.485,1202.042,1202.135,1202.266,1202.324,1202.733,1203.262,1203.545,1203.865,1203.825,1204.015
18025900,1204.575,1204.303,1204.075,1204.15,1204.571,1205.05,1205.648,1206.351,1206.174,1206.437,1206.435,1206.747,1206.104,1205.737,1204.755,1204.513,1204.224,1203.776,1203.805,1204.001,1203.967,1204.466,1205.037,1205.28,1205.794,1205.761,1205.88
18029800,1259.41,1259.5,1259.492,1259.815,1259.618,1259.615,1259.731,1259.619,1259.601,1260.25,1259.591,1259.655,1259.732,1259.51,1259.592,1259.797,1259.365,1259.624,1259.82,1259.555,1259.56,1259.716,1260.33,1259.814,1259.74,1259.811,1259.779
18030400,1205.85,1205.578,1205.47,1205.85,1206.026,1206.592,1207.185,1207.7,1207.384,1207.627,1207.623,1208.02,1207.464,1207.05,1206.142,1206.081,1206.011,1205.204,1204.906,1205.075,1205.385,1206.127,1206.825,1207.09,1207.26,1207.15,1207.25
18030500,1205.946,1205.822,1205.721,1206.138,1206.261,1206.81,1207.201,1207.453,1207.208,1207.661,1207.472,1207.776,1207.35,1207.144,1206.078,1206.332,1206.227,1205.337,1205.272,1205.384,1205.749,1206.497,1206.904,1207.278,1207.683,1207.03,1207.384
18030800,1206.679,1206.812,1206.74,1207.058,1207.05,1207.431,1207.479,1207.322,1207.091,1207.385,1207.121,1207.434,1207.14,1206.889,1206.473,1206.63,1206.456,1206.365,1206.19,1206.443,1206.51,1206.917,1207.203,1207.276,1207.564,1207.18,1207.327
18032000,1173.516,1173.503,1173.653,1173.843,1174.734,1175.8,1176.954,1176.66,1176.019,1176.809,1176.238,1176.487,1176.36,1176.077,1174.397,1174.624,1174.022,1173.194,1173.339,1174.258,1174.506,1176.206,1176.166,1175.804,1177.136,1176.176,1177.079
