"","ID","Start_Year","End_Year","Length","R_Linear","R_Quar","R_Exponen","Correlation","pvalue"
"342","18007000","1996","2016","21","0.0797","0.1293","0.0797","0.282","0.2151"
"343"," "," "," "," "," "," "," "," "," "
"344","18009300","1991","2013","23","0.0193","0.0201","0.0193","0.139","0.5273"
"345"," "," "," "," "," "," "," "," "," "
"346","18009600","1995","2016","22","0.0197","0.0486","0.0198","0.14","0.533"
"347"," "," "," "," "," "," "," "," "," "
"348","18011000","2002","2016","15","0.0039","0.2312","0.0039","-0.062","0.8249"
"349"," "," "," "," "," "," "," "," "," "
"350","18013600","1991","2016","26","0.0258","0.0328","0.0259","0.161","0.4328"
"351"," "," "," "," "," "," "," "," "," "
"352","18015500","1991","2016","26","0","0.0497","0","-0.004","0.9859"
"353"," "," "," "," "," "," "," "," "," "
"354","18016100","2000","2016","17","0.1168","0.168","0.1169","-0.342","0.1793"
"355"," "," "," "," "," "," "," "," "," "
"356","18016500","1990","2016","27","0.0222","0.0217","0.0222","0.149","0.4581"
"357"," "," "," "," "," "," "," "," "," "
"358","18018400","1997","2016","20","0.2321","0.2279","0.2321","0.482","0.0315"
"359"," "," "," "," "," "," "," "," "," "
"360","18020300","2003","2016","14","0.001","0.0067","0.001","0.031","0.9159"
"361"," "," "," "," "," "," "," "," "," "
"362","18021200","1992","2016","25","0.0121","0.3897","0.0121","0.11","0.6008"
"363"," "," "," "," "," "," "," "," "," "
"364","18022600","1992","2016","25","0.1374","0.1095","0.1374","0.371","0.0682"
"365"," "," "," "," "," "," "," "," "," "
"366","18022700","1991","2016","26","0.0724","0.1111","0.0724","0.269","0.1837"
"367"," "," "," "," "," "," "," "," "," "
"368","18024300","1990","2016","27","1e-04","0.023","1e-04","-0.011","0.9571"
"369"," "," "," "," "," "," "," "," "," "
"370","18025100","1990","2016","27","1e-04","0.5816","1e-04","0.009","0.9653"
"371"," "," "," "," "," "," "," "," "," "
"372","18025200","1990","2016","27","0.0061","0.1043","0.0062","0.078","0.6975"
"373"," "," "," "," "," "," "," "," "," "
"374","18025600","1990","2016","27","1e-04","0.6056","1e-04","-0.012","0.9518"
"375"," "," "," "," "," "," "," "," "," "
"376","18025900","1990","2016","27","0.0024","0.1004","0.0024","0.049","0.8092"
"377"," "," "," "," "," "," "," "," "," "
"378","18029800","1990","2016","27","0.1921","0.1863","0.1922","0.438","0.0222"
"379"," "," "," "," "," "," "," "," "," "
"380","18030400","1990","2016","27","0.0017","0.3194","0.0017","0.041","0.8383"
"381"," "," "," "," "," "," "," "," "," "
"382","18030500","1990","2016","27","0.0055","0.4709","0.0055","0.074","0.7138"
"383"," "," "," "," "," "," "," "," "," "
"384","18030800","1990","2016","27","0.0175","0.2115","0.0175","0.132","0.5105"
"385"," "," "," "," "," "," "," "," "," "
"386","18032000","1990","2016","27","0.0137","0.2502","0.0137","0.117","0.5611"
"387"," "," "," "," "," "," "," "," "," "
"388","18032300","1990","2016","27","0.04","0.5212","0.04","0.2","0.3171"
"389"," "," "," "," "," "," "," "," "," "
"390","18032500","1997","2015","19","0.0036","0.1091","0.0036","0.06","0.8081"
"391"," "," "," "," "," "," "," "," "," "
"392","18032900","1990","2016","27","0.0524","0.0807","0.0524","-0.229","0.2506"
"393"," "," "," "," "," "," "," "," "," "
"394","18033500","1990","2016","27","0.0198","0.2724","0.0199","0.141","0.4837"
"395"," "," "," "," "," "," "," "," "," "
"396","18033800","1990","2016","27","0.065","0.1149","0.065","0.255","0.1994"
"397"," "," "," "," "," "," "," "," "," "
"398","18034200","1990","2016","27","0.0021","0.4317","0.0021","0.045","0.8223"
"399"," "," "," "," "," "," "," "," "," "
"400","18034300","1996","2016","21","0","0.0063","0","-0.003","0.9881"
"401"," "," "," "," "," "," "," "," "," "
"402","18034800","1990","2014","25","0.0049","0.1803","0.0049","0.07","0.7392"
"403"," "," "," "," "," "," "," "," "," "
"404","18035100","1990","2016","27","0.047","0.0652","0.047","0.217","0.2773"
"405"," "," "," "," "," "," "," "," "," "
"406","18035200","1992","2016","25","0.0095","0.3233","0.0095","0.098","0.6422"
"407"," "," "," "," "," "," "," "," "," "
