"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1014600","1255.221","1255.437","1255.012","1256.013","1255.174","1255.527","1255.359","1255.705","1255.461","1255.96","1255.094","1255.981","1256.093","1255.741","1255","1255.626","1254.761","1254.499","1255.316","1255.332","1255.145","1255.941","1256.106","1255.614","1255.869","1255.352","1256.115","1255.733"
"1015900","1228.7","NaN","1228.4","NaN","NaN","NaN","NaN","NaN","1227.594","1228.155","1227.226","1228.011","1227.788","1227.951","1227.01","1227.919","1226.909","1226.493","1227.597","1227.327","1227.472","1227.711","1227.831","1227.367","1228.06","NaN","NaN","1227.47"
"1017000","1255.023","1255.247","1254.804","1255.816","1255.071","1255.313","1254.972","1255.61","1255.267","1255.74","1255.01","1255.813","1255.806","1255.42","1254.73","1255.1","1254.594","1254.46","1255.378","1255.05","1255.19","1256.05","1256.277","1255.55","1255.73","NaN","1256.09","NaN"
"1017600","NaN","1254.174","1254.04","1254.23","1254.142","1254.277","1254.111","1254.134","1254.097","1254.298","1254.021","1254.223","1254.355","1254.62","1254.37","1254.2","1254.033","1253.886","1254.086","1254.05","1254.11","1254.33","1254.314","1254.222","1254.295","1254.134","1254.329","1254.204"
"1017800","NaN","1258.738","1258.325","1258.943","1258.651","1258.803","1258.809","1258.749","1258.494","1258.758","1258.267","1258.983","1259.095","1259.21","NaN","NaN","NaN","1258.359","1259.094","1258.616","1258.662","1259.24","1258.973","1258.942","1258.96","1258.041","1259.021","1258.937"
"1020400","NaN","NaN","1200.61","1200.457","1200.022","1199.72","1199.267","1199.332","1199.339","1199.769","1199.111","1198.993","1199.723","1199.501","1199.636","1199.75","1199.226","1199.333","1199.551","1199.422","NaN","1200.17","1200.724","1199.571","1200.103","1199.624","1200.14","1199.922"
"1020900","884.767","884.957","884.42","884.844","884.791","884.818","884.659","884.194","884.696","NaN","NaN","NaN","NaN","NaN","NaN","NaN","884.568","884.575","884.559","884.488","884.609","884.648","NaN","NaN","884.98","NaN","NaN","NaN"
"2000400","882.012","882.216","881.184","882.538","881.485","881.506","880.777","881.25","880.755","881.223","880.681","882.752","881.859","881.082","881.04","881.122","880.849","880.657","881.343","880.944","881.133","882.636","881.533","881.663","882.605","882.324","882.579","882.266"
"2000900","NaN","NaN","885.676","886.248","885.96","886.142","885.85","885.918","885.861","886.052","885.499","885.955","886.478","886.135","885.927","886.138","886.129","885.834","886.68","885.822","885.589","885.888","885.578","885.556","886.428","886.202","885.734","886.234"
"2001500","888.832","888.462","887.572","888.256","888.189","887.956","887.71","887.427","887.427","887.894","887.417","887.786","888.358","888.125","887.727","887.698","887.891","887.421","887.911","887.437","888.29","888.899","887.921","888.109","888.96","887.837","888.13","888.468"
"2001600","899.56","899.715","899.384","899.269","899.44","899.754","899.641","899.593","899.027","899.154","NaN","899.643","899.701","899.525","899.526","899.323","899.491","898.902","899.053","899.078","899.524","899.563","899.321","899.142","899.724","899.486","899.508","899.484"
"2002600","893.024","893.086","892.682","893.343","892.838","893.331","892.862","892.812","892.58","892.652","892.446","892.8","893.248","892.949","892.832","892.895","892.618","892.541","892.518","892.461","892.704","892.987","892.882","892.752","893.283","892.987","NaN","892.96"
"2003400","899.618","901.222","901.086","901.49","901.613","901.939","902.523","901.937","901.396","900.824","899.865","900.689","901.45","901.771","901.092","900.54","900.952","900.377","900.329","898.908","899.361","901.129","900.124","900.081","901.506","901.351","901.255","901.675"
"2003500","NaN","NaN","NaN","NaN","NaN","NaN","900.81","900.438","899.781","899.545","898.494","899.519","900.22","900.382","899.794","899.405","899.682","899.155","899.136","897.75","898.371","900.001","898.958","898.946","899.699","899.857","899.96","900.49"
"2003600","901.755","904.214","904","904.426","904.105","904.423","903.583","903.441","903.336","903.474","902.847","903.816","904.304","903.966","903.785","903.994","903.871","903.319","903.569","902.41","903.069","904.107","903.71","903.882","904.317","903.963","904.073","903.965"
"2004200","888.16","888.229","888.014","888.247","888.147","888.12","887.86","888.049","888.249","888.491","888.225","888.205","888.251","887.988","888.133","888.084","888.122","888.052","888.127","888.015","888.109","888.232","887.949","887.999","888.224","888.181","888.287","888.142"
"2004500","900.19","902.075","902.238","902.596","902.546","902.513","902.448","902.233","901.522","901.447","900.129","901.078","902.123","902.385","901.515","901.354","902.012","901.067","901.429","900.104","901.059","902.643","901.743","901.442","902.577","901.971","902.167","902.615"
"2005200","894.821","896.799","896.659","896.96","896.841","897.002","896.921","896.588","896.256","896.386","894.82","895.879","896.666","896.647","895.871","895.871","896.47","896.439","896.102","894.781","895.672","896.987","896.224","895.911","896.907","896.488","896.652","896.874"
"2005300","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","921.304","920.978","920.731","921.225","920.769","920.848","920.993"
"2006700","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","920.876","920.057","919.377","920.931","920.009","NaN","920.512"
"2007000","NaN","NaN","902.16","902.651","902.238","902.385","902.232","902.326","901.917","901.898","899.717","901.692","902.052","901.507","901.175","901.044","901.514","900.993","901.321","899.432","899.581","901.584","901.601","901.5","902.265","901.909","902.089","902.145"
"2007200","877.374","877.348","877.086","877.397","877.074","877.184","876.839","876.848","877.015","877.238","877.071","877.154","877.426","876.806","877.002","877.258","877.231","876.998","877.107","876.964","877.508","877.703","877.216","877.297","877.626","877.484","877.691","877.709"
"2007500","NaN","NaN","996.006","NaN","NaN","996.105","996.21","996.231","NaN","NaN","NaN","NaN","996.017","995.372","995.485","995.463","NaN","NaN","996.26","996.161","996.355","996.199","996.006","996.133","996.226","996.359","996.426","996.254"
"2007900","NaN","NaN","880.01","880.077","880.214","880.176","880.045","879.949","880.014","879.982","879.891","880.305","880.175","879.763","880.015","880.148","880.221","880.067","879.823","879.875","880.235","880.165","879.819","880.392","881.58","880.143","880.791","880.117"
"2008000","859.665","861.481","861.243","861.39","861.304","861.434","861.006","861.138","860.919","861.339","860.057","860.972","861.226","860.869","860.248","860.177","860.468","860.265","860.552","859.481","860.111","861.183","860.6","860.676","861.17","860.575","860.807","861.072"
"2008400","863.478","865.3","865.929","866.276","866.729","866.393","866.144","865.741","865.252","865.261","863.651","863.992","864.402","864.797","864.349","864.039","864.098","863.596","863.712","862.751","863.513","865.601","865.4","865.178","865.885","865.564","865.806","866.452"
"2008900","880.4","882.402","884.115","884.59","884.717","884.197","884.471","883.389","882.19","882.059","879.637","881.017","882.039","883.228","881.786","881.25","881.402","880.405","880.306","879.518","880.015","882.485","881.101","NaN","NaN","NaN","NaN","NaN"
"2009000","NaN","NaN","NaN","NaN","NaN","NaN","902.17","NaN","NaN","NaN","NaN","NaN","NaN","901.88","901.352","NaN","900.883","901.316","901.552","901.478","902.088","902.462","901.743","901.675","902.162","902.126","NaN","NaN"
"2009100","880.534","883.147","883.338","883.868","883.521","884.32","883.486","883.684","882.933","883.492","881.771","882.747","883.452","883.511","883.234","883.464","883.109","882.281","882.383","881.713","882.135","884.08","883.522","883.307","883.919","883.355","883.878","883.784"
"2010400","866.117","868.243","868.888","868.893","869.658","868.794","868.409","868.376","867.724","867.361","865.209","866.564","867.389","867.9","867.229","867.418","867.671","866.033","866.335","864.758","865.191","867.575","866.48","866.496","868.307","867.507","867.177","867.52"
"2011000","858.507","860.917","NaN","858.8","859.873","859.433","858.26","858.57","NaN","859.092","857.86","858.79","859.362","859.89","859.67","859.93","NaN","859.11","859.89","859.85","NaN","861.039","860.455","860.314","861.389","860.087","860.472","860.766"
"2011300","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","927.13","NaN","NaN","924.606","925.376","926.526","926.637","927.334","927.2","925.787","925.471","924.128","924.144","926.495","926.312","925.656","927.26","926.608","927.149","927.616"
